code,name,total,date
030000000001,Краснодарский край,,2012-01-01
030000000001,Краснодарский край,,2012-02-01
030000000001,Краснодарский край,,2012-03-01
030000000001,Краснодарский край,,2012-04-01
030000000001,Краснодарский край,,2012-05-01
030000000001,Краснодарский край,,2012-06-01
030000000001,Краснодарский край,,2012-07-01
030000000001,Краснодарский край,,2012-08-01
030000000001,Краснодарский край,,2012-09-01
030000000001,Краснодарский край,,2012-10-01
030000000001,Краснодарский край,,2012-11-01
030000000001,Краснодарский край,,2012-12-01
030000000001,Краснодарский край,,2013-01-01
030000000001,Краснодарский край,,2013-02-01
030000000001,Краснодарский край,,2013-03-01
030000000001,Краснодарский край,,2013-04-01
030000000001,Краснодарский край,,2013-05-01
030000000001,Краснодарский край,,2013-06-01
030000000001,Краснодарский край,,2013-07-01
030000000001,Краснодарский край,,2013-08-01
030000000001,Краснодарский край,,2013-09-01
030000000001,Краснодарский край,,2013-10-01
030000000001,Краснодарский край,,2013-11-01
030000000001,Краснодарский край,,2013-12-01
030000000001,Краснодарский край,,2014-01-01
030000000001,Краснодарский край,,2014-02-01
030000000001,Краснодарский край,,2014-03-01
030000000001,Краснодарский край,,2014-04-01
030000000001,Краснодарский край,,2014-05-01
030000000001,Краснодарский край,,2014-06-01
030000000001,Краснодарский край,15932,2014-07-01
030000000001,Краснодарский край,15606,2014-08-01
030000000001,Краснодарский край,15233,2014-09-01
030000000001,Краснодарский край,15499,2014-10-01
030000000001,Краснодарский край,16055,2014-11-01
030000000001,Краснодарский край,18292,2014-12-01
030000000001,Краснодарский край,19002,2015-01-01
030000000001,Краснодарский край,20524,2015-02-01
030000000001,Краснодарский край,20360,2015-03-01
030000000001,Краснодарский край,20371,2015-04-01
030000000001,Краснодарский край,19304,2015-05-01
030000000001,Краснодарский край,17798,2015-06-01
030000000001,Краснодарский край,17636,2015-07-01
030000000001,Краснодарский край,17173,2015-08-01
030000000001,Краснодарский край,16741,2015-09-01
030000000001,Краснодарский край,16912,2015-10-01
030000000001,Краснодарский край,17742,2015-11-01
030000000001,Краснодарский край,20177,2015-12-01
030000000001,Краснодарский край,20414,2016-01-01
030000000001,Краснодарский край,21733,2016-02-01
030000000001,Краснодарский край,20783,2016-03-01
030000000001,Краснодарский край,20667,2016-04-01
030000000001,Краснодарский край,18799,2016-05-01
